"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C590","2019-09-16 00:00:00","72.000","101.000","0.500","25.300","0.860","999.600","-99.000","16.500","-99.000","-99.000","-99.000","27.600","","23.700",""
"C0AH50","2019-09-16 00:00:00","275.000","0.000","0.200","24.500","0.990","978.100","-99.000","47.500","-99.000","-99.000","-99.000","26.000","","23.300",""
"C0F850","2019-09-16 00:00:00","379.000","0.000","0.000","23.200","0.910","964.100","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","23.200",""
"C0G800","2019-09-16 00:00:00","15.000","26.000","1.900","26.100","0.810","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.100",""
"C0U890","2019-09-16 00:00:00","116.000","288.000","3.700","24.900","0.970","997.000","-99.000","0.000","-99.000","-99.000","-99.000","27.200","","23.500",""
"C0F860","2019-09-16 00:00:00","2215.000","88.000","0.800","14.000","0.830","779.700","-99.000","0.000","-99.000","-99.000","-99.000","20.300","","10.300",""
"CM0170","2019-09-16 00:00:00","106.000","137.000","0.700","24.700","0.950","996.000","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","24.200",""
"C0B020","2019-09-16 00:00:00","86.000","2.000","4.900","26.700","0.990","997.300","-99.000","21.500","-99.000","-99.000","-99.000","27.800","","24.400",""
"C0I390","2019-09-16 00:00:00","1184.000","89.000","0.500","19.700","0.860","882.500","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","19.100",""
"C0T9D0","2019-09-16 00:00:00","7.000","0.000","0.100","25.100","0.990","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","23.500",""
"C0E520","2019-09-16 00:00:00","320.000","0.000","0.000","21.500","1.000","971.800","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","21.500",""
"C0C460","2019-09-16 00:00:00","482.000","0.000","0.000","21.300","0.870","955.900","-99.000","3.000","-99.000","-99.000","-99.000","24.500","","20.300",""
"C0AI40","2019-09-16 00:00:00","37.000","269.000","0.900","26.000","0.840","1004.900","-99.000","16.000","-99.000","-99.000","-99.000","28.200","","24.700",""
"C0O930","2019-09-16 00:00:00","69.000","0.000","0.000","23.700","1.000","1000.200","-99.000","2.500","-99.000","-99.000","-99.000","31.600","","23.600",""
"C0T870","2019-09-16 00:00:00","135.000","0.000","0.000","23.800","0.960","992.700","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","21.500",""
"C0A920","2019-09-16 00:00:00","196.000","62.000","2.000","25.100","1.000","986.500","-99.000","19.000","-99.000","-99.000","-99.000","26.400","","24.000",""
"C0A940","2019-09-16 00:00:00","49.000","50.000","1.000","26.600","0.890","1003.800","-99.000","28.500","-99.000","-99.000","-99.000","27.800","","24.700",""
"C0S740","2019-09-16 00:00:00","289.000","0.000","0.100","22.800","0.990","976.700","-99.000","16.000","-99.000","-99.000","-99.000","30.000","","22.800",""
"C0U980","2019-09-16 00:00:00","573.000","279.000","1.500","22.200","0.960","946.600","-99.000","4.000","-99.000","-99.000","-99.000","26.100","","21.000",""
"C0V250","2019-09-16 00:00:00","298.000","86.000","0.500","23.300","1.000","974.700","-99.000","2.000","-99.000","-99.000","-99.000","31.500","","23.100",""
"C0AH70","2019-09-16 00:00:00","34.000","78.000","1.300","27.100","0.740","1005.200","-99.000","15.500","-99.000","-99.000","-99.000","28.800","","24.700",""
